Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,gene_set,cell_type,effect_class,direction,n_input_genes
GO_Biological_Process_2023,Regulation Of Actin Cytoskeleton Organization (GO:0032956),1/91,0.4508389413444112,0.5482256008795333,0,0,1.6905128205128206,1.346738785032599,PTK2B,GO_Biological_Process_2023,Monocyte_CD14,unique_40nm,UP,131
GO_Biological_Process_2023,Negative Regulation Of Cell Population Proliferation (GO:0008285),3/379,0.4532585445615207,0.5503365435475477,0,0,1.2150723071808511,0.9614776981163552,ALDH1A2;NF1;PTK2B,GO_Biological_Process_2023,Monocyte_CD14,unique_40nm,UP,131
GO_Biological_Process_2023,Sensory Perception Of Sound (GO:0007605),1/92,0.4544523799074353,0.5509550690142854,0,0,1.6718512256973797,1.318525774673755,ROR1,GO_Biological_Process_2023,Monocyte_CD14,unique_40nm,UP,131
GO_Biological_Process_2023,Positive Regulation Of Cellular Component Biogenesis (GO:0044089),1/93,0.4580422225383953,0.5536396233384508,0,0,1.6535953177257523,1.2911171539636297,STAM,GO_Biological_Process_2023,Monocyte_CD14,unique_40nm,UP,131
GO_Biological_Process_2023,Negative Regulation Of Amide Metabolic Process (GO:0034249),1/93,0.4580422225383953,0.5536396233384508,0,0,1.6535953177257523,1.2911171539636297,ENC1,GO_Biological_Process_2023,Monocyte_CD14,unique_40nm,UP,131
GO_Biological_Process_2023,"Retrograde Transport, Endosome To Golgi (GO:0042147)",1/94,0.4616086222221188,0.5571138544060055,0,0,1.6357320099255583,1.2644828133338064,RHOBTB3,GO_Biological_Process_2023,Monocyte_CD14,unique_40nm,UP,131
GO_Biological_Process_2023,Positive Regulation Of Epithelial Cell Migration (GO:0010634),1/95,0.4651517307541396,0.5597117238521411,0,0,1.6182487725040915,1.2385940558980708,PTK2B,GO_Biological_Process_2023,Monocyte_CD14,unique_40nm,UP,131
GO_Biological_Process_2023,Recombinational Repair (GO:0000725),1/95,0.4651517307541396,0.5597117238521411,0,0,1.6182487725040915,1.2385940558980708,GEN1,GO_Biological_Process_2023,Monocyte_CD14,unique_40nm,UP,131
GO_Biological_Process_2023,Positive Regulation Of Multicellular Organismal Process (GO:0051240),3/387,0.4668594098861692,0.5609280969527853,0,0,1.18927001953125,0.90589922227981,IL15;EBF2;PLCB1,GO_Biological_Process_2023,Monocyte_CD14,unique_40nm,UP,131
GO_Biological_Process_2023,Cellular Response To Transforming Growth Factor Beta Stimulus (GO:0071560),1/96,0.4686716991821424,0.5614296396452748,0,0,1.6011336032388663,1.2134235161728557,ITGB1,GO_Biological_Process_2023,Monocyte_CD14,unique_40nm,UP,131
GO_Biological_Process_2023,Positive Regulation Of Supramolecular Fiber Organization (GO:1902905),1/96,0.4686716991821424,0.5614296396452748,0,0,1.6011336032388663,1.2134235161728557,PTK2B,GO_Biological_Process_2023,Monocyte_CD14,unique_40nm,UP,131
GO_Biological_Process_2023,Negative Regulation Of Macromolecule Biosynthetic Process (GO:0010558),1/98,0.4756428145928489,0.5672480974033236,0,0,1.5679619349722442,1.1651338487722471,ENC1,GO_Biological_Process_2023,Monocyte_CD14,unique_40nm,UP,131
GO_Biological_Process_2023,MAPK Cascade (GO:0000165),1/98,0.4756428145928489,0.5672480974033236,0,0,1.5679619349722442,1.1651338487722471,NF1,GO_Biological_Process_2023,Monocyte_CD14,unique_40nm,UP,131
GO_Biological_Process_2023,Positive Regulation Of Cold-Induced Thermogenesis (GO:0120162),1/98,0.4756428145928489,0.5672480974033236,0,0,1.5679619349722442,1.1651338487722471,EBF2,GO_Biological_Process_2023,Monocyte_CD14,unique_40nm,UP,131
GO_Biological_Process_2023,Positive Regulation Of Programmed Cell Death (GO:0043068),2/245,0.4784350043289999,0.5697339918414865,0,0,1.2521772418413246,0.9231487754897756,ITGB1;NF1,GO_Biological_Process_2023,Monocyte_CD14,unique_40nm,UP,131
