names,scores,logfoldchanges,pvals,pvals_adj,cell_type,comparison
CD36,35.693565,,4.974613416216354e-279,6.412871280817103e-278,B_cell,PSNP_40nm_vs_control
ASPM,35.693058,,5.066009815299624e-279,6.412871280817103e-278,B_cell,PSNP_40nm_vs_control
RP11-114H23.1,35.692993,-1.5015184,5.077551713000593e-279,6.412871280817103e-278,B_cell,PSNP_40nm_vs_control
CTD-2410N18.3,35.692993,-1.9904928,5.077551713000593e-279,6.412871280817103e-278,B_cell,PSNP_40nm_vs_control
SLC13A5,35.692993,,5.077551713000593e-279,6.412871280817103e-278,B_cell,PSNP_40nm_vs_control
PHLDA2,35.692867,-0.6228841,5.100714394021306e-279,6.412871280817103e-278,B_cell,PSNP_40nm_vs_control
LINC01088,35.692802,-1.0714078,5.1123352970160096e-279,6.412871280817103e-278,B_cell,PSNP_40nm_vs_control
ME3,35.692677,-0.9153862,5.135656528178764e-279,6.412871280817103e-278,B_cell,PSNP_40nm_vs_control
RP3-467K16.2,35.692677,-0.5394753,5.135656528178764e-279,6.412871280817103e-278,B_cell,PSNP_40nm_vs_control
GPSM1,35.692677,-0.24986379,5.135656528178764e-279,6.412871280817103e-278,B_cell,PSNP_40nm_vs_control
C11orf74,35.692677,-0.13834625,5.135656528178764e-279,6.412871280817103e-278,B_cell,PSNP_40nm_vs_control
TMC1,35.69261,-0.29448903,5.14735697683616e-279,6.412871280817103e-278,B_cell,PSNP_40nm_vs_control
PDGFC,35.692482,-0.37163544,5.170837842567499e-279,6.412871280817103e-278,B_cell,PSNP_40nm_vs_control
NEBL,35.692482,0.07182523,5.170837842567499e-279,6.412871280817103e-278,B_cell,PSNP_40nm_vs_control
RP11-546K22.1,35.692356,1.5553063,5.194425737461854e-279,6.412871280817103e-278,B_cell,PSNP_40nm_vs_control
RP11-307C12.13,35.692356,0.7574147,5.194425737461854e-279,6.412871280817103e-278,B_cell,PSNP_40nm_vs_control
KIT,35.692356,0.17876936,5.194425737461854e-279,6.412871280817103e-278,B_cell,PSNP_40nm_vs_control
RTN1,35.692356,-0.17272545,5.194425737461854e-279,6.412871280817103e-278,B_cell,PSNP_40nm_vs_control
PF4,35.692356,-0.035565138,5.194425737461854e-279,6.412871280817103e-278,B_cell,PSNP_40nm_vs_control
MARC1,35.692356,3.7596343,5.194425737461854e-279,6.412871280817103e-278,B_cell,PSNP_40nm_vs_control
HSD11B1,35.692356,0.42388505,5.194425737461854e-279,6.412871280817103e-278,B_cell,PSNP_40nm_vs_control
GLB1L2,35.692356,0.3230583,5.194425737461854e-279,6.412871280817103e-278,B_cell,PSNP_40nm_vs_control
ST6GALNAC5,35.692356,0.75798094,5.194425737461854e-279,6.412871280817103e-278,B_cell,PSNP_40nm_vs_control
EPDR1,35.6591,-2.2980986,1.702924202061384e-278,2.0159761428421036e-277,B_cell,PSNP_40nm_vs_control
AC096670.3,35.6591,,1.702924202061384e-278,2.0159761428421036e-277,B_cell,PSNP_40nm_vs_control
RP11-309L24.2,35.6591,,1.702924202061384e-278,2.0159761428421036e-277,B_cell,PSNP_40nm_vs_control
MMP7,35.65904,,1.7068002873908956e-278,2.0159761428421036e-277,B_cell,PSNP_40nm_vs_control
LHFP,35.65891,-1.309054,1.7145789247518613e-278,2.0159761428421036e-277,B_cell,PSNP_40nm_vs_control
RP1-69D17.4,35.65872,,1.72631334873505e-278,2.0159761428421036e-277,B_cell,PSNP_40nm_vs_control
GNAI1,35.65872,,1.72631334873505e-278,2.0159761428421036e-277,B_cell,PSNP_40nm_vs_control
TFPI,35.658653,-0.64976305,1.7302426288178468e-278,2.0159761428421036e-277,B_cell,PSNP_40nm_vs_control
MST1,35.658592,-2.8769069,1.734180845342766e-278,2.0159761428421036e-277,B_cell,PSNP_40nm_vs_control
SHROOM3,35.6584,-1.5817649,1.746049316891593e-278,2.0159761428421036e-277,B_cell,PSNP_40nm_vs_control
NEK2,35.658337,-0.09801381,1.750023482733382e-278,2.0159761428421036e-277,B_cell,PSNP_40nm_vs_control
FAM78B,35.658337,,1.750023482733382e-278,2.0159761428421036e-277,B_cell,PSNP_40nm_vs_control
SLC24A2,35.658337,-0.42291132,1.750023482733382e-278,2.0159761428421036e-277,B_cell,PSNP_40nm_vs_control
