gene,scores,logfc,pval,padj,azimuth_cell_type,azimuth_cell_type_key,pct_in_group,pct_out_group,specificity
AHI1,5.4794497,2.819086,4.26650146171502e-08,1.0534571510407457e-06,DC,DC,0.8,0.221680728579696,0.578319271420304
EVI5,5.464379,3.077489,4.6453082849676946e-08,1.1330020207238279e-06,DC,DC,0.6857142857142857,0.11699308580305198,0.5687211999112337
GM2A,5.456607,3.4276087,4.853190432179489e-08,1.1765310138616943e-06,DC,DC,0.6571428571428571,0.10618013462885686,0.5509627225140002
GLT1D1,5.4555197,6.551812,4.882984509397611e-08,1.176622773348822e-06,DC,DC,0.5428571428571428,0.009746885565471658,0.5331102572916712
TNS3,5.4383717,4.723426,5.376969242091966e-08,1.2802307719266585e-06,DC,DC,0.5714285714285714,0.03822606682708416,0.5332025046014872
MACF1,5.4370885,2.4710531,5.415829092300496e-08,1.2818530395977505e-06,DC,DC,0.9142857142857143,0.4234108007675672,0.49087491351814705
SUSD1,5.435163,4.6857595,5.474629655737407e-08,1.2881481542911544e-06,DC,DC,0.5714285714285714,0.04048003411409948,0.5309485373144719
RNF130,5.4178195,2.7400644,6.033034633396729e-08,1.4112361715547902e-06,DC,DC,0.8571428571428572,0.2442508604672413,0.6128919966756159
FURIN,5.406233,2.964624,6.436408915784451e-08,1.49683928274057e-06,DC,DC,0.7142857142857143,0.15357436569096283,0.5607113485947515
ABL2,5.3855734,2.7490182,7.221401780509699e-08,1.6696882729502197e-06,DC,DC,0.7714285714285715,0.18884590783101335,0.5825826635975582
CRIM1,5.382347,3.8574963,7.352080574127479e-08,1.6901334653166619e-06,DC,DC,0.6,0.06073528067984526,0.5392647193201547
SEMA3C,5.3382564,4.161715,9.384463629445518e-08,2.1350349967640807e-06,DC,DC,0.5714285714285714,0.03874387012274984,0.5326847013058216
MEF2C,5.332,3.65866,9.713702077548117e-08,2.1951869101803654e-06,DC,DC,0.6285714285714286,0.08638177332399256,0.542189655247436
P2RY14,5.313702,5.486136,1.0742007308141042e-07,2.413934226548549e-06,DC,DC,0.5428571428571428,0.022296000731016417,0.5205611421261264
BCL2L11,5.307802,2.9380598,1.1095499318467217e-07,2.4794411884842943e-06,DC,DC,0.7142857142857143,0.1657579726478024,0.548527741637912
SRC,5.288872,4.136917,1.2307313352193796e-07,2.7349585227097325e-06,DC,DC,0.5714285714285714,0.04931314915780817,0.5221154222707632
CD58,5.2852263,2.7797165,1.2554931079748903e-07,2.7745704043643985e-06,DC,DC,0.8,0.261399287258993,0.5386007127410071
INPP5F,5.2824903,3.1367688,1.2743955565374986e-07,2.8008693550274693e-06,DC,DC,0.6571428571428571,0.10916511833328256,0.5479777388095746
HIST1H2AC,5.2663584,2.7289946,1.3915638840840343e-07,3.04166969198696e-06,DC,DC,0.7142857142857143,0.14440620145594102,0.5698795128297733
RARRES2,5.2527757,9.700685,1.498239302670319e-07,3.25704196232678e-06,DC,DC,0.5142857142857142,0.0021016722000548266,0.5121840420856594
SIPA1L3,5.251617,2.6340628,1.507696420274486e-07,3.257141034557172e-06,DC,DC,0.8571428571428572,0.2692881727635466,0.5878546843793107
H1FX,5.2431235,3.0850418,1.578808892465252e-07,3.377131320781288e-06,DC,DC,0.6857142857142857,0.18037830099600985,0.5053359847182759
SLC15A4,5.236412,2.8107374,1.6372808287677903e-07,3.4835762314208304e-06,DC,DC,0.7142857142857143,0.1682860710913466,0.5459996431943677
AMPD3,5.2352,3.174252,1.6480624056464645e-07,3.4879627632729407e-06,DC,DC,0.6571428571428571,0.11909475800310682,0.5380480991397503
FLT3,5.2307973,8.290893,1.6878054397821515e-07,3.5532746100676876e-06,DC,DC,0.5142857142857142,0.00399013127836496,0.5102955830073492
CCL22,5.220084,5.3837314,1.7884170345937873e-07,3.72586882207039e-06,DC,DC,0.5428571428571428,0.03856111601839725,0.5042960268387455
ST3GAL6,5.2169294,4.921471,1.8191371169291015e-07,3.7702323666924382e-06,DC,DC,0.5428571428571428,0.03353537814870092,0.5093217647084419
RP11-556E13.1,5.2143803,7.5703664,1.8443281218759268e-07,3.7990928868259274e-06,DC,DC,0.5142857142857142,0.004903901800127928,0.5093818124855863
DENND5A,5.213605,2.6035666,1.8520577823276398e-07,3.7990928868259274e-06,DC,DC,0.8571428571428572,0.26877036946788097,0.5883724876749763
CDH1,5.198926,7.3691397,2.0044352978886458e-07,4.090684281405399e-06,DC,DC,0.5142857142857142,0.007462459261064238,0.50682325502465
TVP23A,5.1852894,7.044361,2.1567956550087104e-07,4.379280517784183e-06,DC,DC,0.5142857142857142,0.008985410130669187,0.505300304155045
ANXA2,5.183471,2.8356183,2.1779371702691792e-07,4.399873071250867e-06,DC,DC,0.7142857142857143,0.16441777588255002,0.5498679384031643
BAIAP2,5.154015,6.4879723,2.549672849649853e-07,5.099345699299706e-06,DC,DC,0.5142857142857142,0.010904328226371418,0.5033813860593428
WDFY4,5.132117,3.3221054,2.8650142587653835e-07,5.680286335939099e-06,DC,DC,0.6,0.07824921568030216,0.5217507843196978
MDFIC,5.131885,2.5750594,2.868544599649245e-07,5.680286335939099e-06,DC,DC,0.8857142857142858,0.3661478480704212,0.5195664376438646
CSF2RB,5.1192737,5.9536166,3.0671430193297827e-07,6.043631565181838e-06,DC,DC,0.5142857142857142,0.01620419725259663,0.4980815170331176
OGFRL1,5.116092,2.9475002,3.119308564518243e-07,6.116291302976948e-06,DC,DC,0.6857142857142857,0.16061039870853766,0.5251038870057481
AP1S3,5.1089087,3.3282745,3.240252062781189e-07,6.32244304932915e-06,DC,DC,0.6,0.07578203527154215,0.5242179647284578
PACSIN2,5.097001,2.3162637,3.4507601877975463e-07,6.700505219024362e-06,DC,DC,0.8285714285714286,0.23157990923212815,0.5969915193393005
SSH1,5.095905,2.7069054,3.4707912373478504e-07,6.706842970720484e-06,DC,DC,0.7428571428571429,0.20602479364015713,0.5368323492169857
PHTF1,5.087857,2.8578122,3.621323757162439e-07,6.964084148389305e-06,DC,DC,0.6571428571428571,0.11802869239438335,0.5391141647484738
MICAL2,5.074185,3.5754898,3.891602945315636e-07,7.448043914479686e-06,DC,DC,0.5714285714285714,0.05631872315799092,0.5151098482705805
C20orf194,5.063383,2.9884756,4.118813470023873e-07,7.845358990521663e-06,DC,DC,0.6285714285714286,0.10231183942006031,0.5262595891513683
